Date,Quality_grade,AQI,AQI_rank,PM
2018/10/12,良,63,226,33
2018/10/13,轻度污染,107,355,80
2018/10/14,中度污染,179,366,136
2018/10/15,中度污染,200,365,152
2018/10/16,良,82,302,60
2018/10/17,良,54,197,32
2018/10/18,优,49,177,28
2018/10/19,良,60,264,41
2018/10/20,良,86,327,63
2018/10/21,轻度污染,144,355,108
2018/10/22,中度污染,168,366,121
2018/10/23,优,38,78,13
2018/10/24,良,70,225,40
2018/10/25,轻度污染,112,332,80
2018/10/26,优,45,92,4
2018/10/27,优,34,48,9
2018/10/28,优,37,66,4
2018/10/29,优,24,12,4
2018/10/30,优,33,44,10
2018/10/31,优,48,88,21
2018/11/1,良,70,219,43
2018/11/2,中度污染,151,361,113
2018/11/3,重度污染,210,365,160
2018/11/4,轻度污染,107,342,81
2018/11/5,优,29,23,18
2018/11/6,优,33,87,14
2018/11/7,良,52,246,26
2018/11/8,良,91,341,66
2018/11/9,良,63,243,34
2018/11/10,优,37,44,12
2018/11/11,良,70,231,44
2018/11/12,轻度污染,126,330,94
2018/11/13,重度污染,222,363,175
2018/11/14,严重污染,274,367,223
2018/11/15,良,92,296,65
2018/11/16,优,33,92,12
2018/11/17,良,67,311,41
2018/11/18,良,67,269,31
2018/11/19,良,77,271,43
2018/11/20,良,71,239,39
2018/11/21,优,44,127,19
2018/11/22,良,56,164,26
2018/11/23,良,92,286,67
2018/11/24,轻度污染,118,289,87
2018/11/25,轻度污染,117,248,87
2018/11/26,严重污染,252,321,204
2018/11/27,中度污染,192,287,56
2018/11/28,轻度污染,115,226,54
2018/11/29,轻度污染,104,229,56
2018/11/30,轻度污染,120,239,87
2018/12/1,中度污染,165,284,126
2018/12/2,重度污染,233,319,182
2018/12/3,中度污染,193,318,66
2018/12/4,良,61,197,15
2018/12/5,良,75,252,36
2018/12/6,优,37,107,9
2018/12/7,优,36,132,5
2018/12/8,优,38,156,8
2018/12/9,良,62,221,38
2018/12/10,良,78,244,56
2018/12/11,良,53,151,22
2018/12/12,良,54,104,27
2018/12/13,优,41,52,13
2018/12/14,良,71,153,45
2018/12/15,轻度污染,118,289,88
2018/12/16,轻度污染,101,220,66
2018/12/17,良,53,82,26
2018/12/18,良,52,68,26
2018/12/19,良,60,89,31
2018/12/20,良,81,187,53
2018/12/21,良,89,240,60
2018/12/28,优,41,124,8
2018/12/29,优,28,33,9
2018/12/30,优,31,25,13
2018/12/31,良,56,159,36
